member_id,name,age,membership_type,date_of_joining
4,EE,3,monthly ,2025-02-11
5,Mann,25,Premium,2025-02-08
6,jay,21,Basic,2025-02-14
7,Mann,4,VIP,2025-03-01
8,pinkal makwana ,47,VIP,2025-02-03
9,shital makwana ,41,Premium,2025-02-10
10,Manisha chauhan ,47,Premium,2025-02-13
11,Bhautik ,23,VIP,2024-11-22
12,Mann,25,Basic,2025-02-21
13,Jay chauhan  ,18,Premium,2025-02-14
14,Jay chauhan  ,18,Premium,2025-02-14
15,Bhautik,21,Premium,2025-02-16
16,alex,22,VIP,2025-02-10
13,jiya,25,VIP,2025-02-06
1,Mann makwana ,25,Gold,2025-02-16
2,veeg,7,Gold,2025-02-08
3,ebteb,78,Premium,2025-02-01
4,tget,41,Premium,2025-02-16
5,rfggg,77,VIP,2025-02-09
1,Mann makwana ,21,Gold,2025-02-13
2,fege,41,Premium,2025-02-02
3,tyyj,22,Platinum,2025-02-09
4,jtyr,14,Platinum,2025-02-09
5,hehe,41,Platinum,2025-02-23
6,gereg,11,VIP,2025-02-23
6,Pinkal makwana ,47,VIP,2025-02-12
6,AUD,25,Gold,2025-02-16
6,gteh,4,Premium,2025-02-07
6,rgwg,77,Basic,2025-02-13
